%:12	% NULL:3	% hộ:3	% là:3	% số:3	&:75	& bảo_vệ:9	& eve:3	& hai:3	& kế_hoạch_hóa:3
& môi_trường:15	& nhà_đất:6	& ptnt:24	& vật_tư:6	& xh:3	& xã_hội:3	*e*:5802	*e* *e*:81	*e* *t*:6	*e* 47%:3
*e* khi:3	*e* khinh_thường:3	*e* khoanh:3	*e* khoảng:3	*e* khá:3	*e* khác:3	*e* khám_phá:3	*e* khám_xét:3	*e* khó:6	*e* khóc:6
*e* khôi_phục:3	*e* không:345	*e* không_thể:39	*e* không_thể_nào:3	*e* không_tài_nào:3	*e* khẩn_trương:3	*e* khỏe:3	*e* khởi_tố:3	*e* khởi_động:3	*e* khủng_bố:9
*e* kinh_tế:3	*e* kiên_quyết:3	*e* kiếm:3	*e* kiểm_kê:3	*e* kiểm_tra:3	*e* kiện_toàn:3	*e* kéo:12	*e* ký:3	*e* ký_kết:3	*e* kết_luận:3
*e* kết_nạp:6	*e* kết_nối:3	*e* kết_thúc:3	*e* kể:6	*e* lan:3	*e* liên_hệ:6	*e* liên_quan:3	*e* liên_tiếp:3	*e* liều:3	*e* liệu_cơm_mà_gắp_mắm:3
*e* lo:6	*e* loay_hoay:3	*e* loại:3	*e* loại_trừ:3	*e* luyện:3	*e* luôn:3	*e* ly_dị:6	*e* là:69	*e* làm:54	*e* làm_bạn:3
*e* làm_cỏ:3	*e* làm_nên:3	*e* làm_sao:6	*e* lát:3	*e* lên:6	*e* lôi_cuốn:3	*e* lúc:3	*e* lăn_lóc:3	*e* lại:102	*e* lấp:9
*e* lấy:21	*e* lần:6	*e* lần_mò:6	*e* lập:9	*e* lập_nghiệp:3	*e* lập_tức:3	*e* lật:3	*e* lắp:3	*e* lặn:18	*e* lọc:3
*e* lộ:6	*e* lời:3	*e* lỡ:3	*e* lợi_dụng:3	*e* mang:9	*e* mang_nặng_đẻ_đau:3	*e* minh_oan:3	*e* mong:18	*e* mua:15	*e* muốn:45
*e* máu:3	*e* mê:3	*e* mình:6	*e* mò:3	*e* móc:3	*e* mô_tả:3	*e* mất:15	*e* mất_hút:3	*e* mất_sức:3	*e* mần:3
*e* mặt:3	*e* mỗi:6	*e* một:27	*e* mới:105	*e* mời:6	*e* mở:3	*e* mở_rộng:3	*e* nam:3	*e* ngay:3	*e* nghe:27
*e* nghiên_cứu:3	*e* nghiệm_thu:3	*e* nghèo_rớt_mồng_tơi:3	*e* nghĩ_bụng:3	*e* ngày:6	*e* ngày_xưa:3	*e* người:3	*e* ngậm:3	*e* ngồi:6	*e* ngụy_trang:3
*e* ngủ:6	*e* nhanh_chóng:3	*e* nhiều:9	*e* nhiễm:3	*e* nhái:3	*e* nhân_viên:3	*e* nhìn:21	*e* như:6	*e* nhảy:3	*e* nhầm:9
*e* nhận:24	*e* nhận_dạng:3	*e* nhận_thức:3	*e* nhập:6	*e* nhắc:9	*e* nhỏ:3	*e* nhốt:3	*e* nhớ:18	*e* những:3	*e* nuôi:12
*e* nàng_tiên:3	*e* nâng:6	*e* nâng_niu:3	*e* ném:3	*e* nên:18	*e* nó:3	*e* nói:33	*e* nói_chuyện:3	*e* năm:6	*e* nấn_ná:3
*e* nắm:3	*e* nắng:3	*e* nằm:12	*e* nếu:12	*e* nối:3	*e* nộp:3	*e* phanh_phui:3	*e* phong_tỏa:6	*e* phá:9	*e* phán_đoán:3
*e* phát:6	*e* phát_hiện:6	*e* phát_sinh:3	*e* phát_triển:3	*e* phân:6	*e* phân_biệt:3	*e* phân_công:3	*e* phân_cấp:3	*e* phân_tích:3	*e* phúc_thẩm:3
*e* phơi:3	*e* phải:183	*e* phổ_biến:6	*e* qua:9	*e* quay:12	*e* quen:3	*e* qui_hoạch:12	*e* qui_định:3	*e* quyết_định:3	*e* quá:3
*e* quách_thị_m:3	*e* quên:3	*e* quả:3	*e* quẳng:3	*e* ra:27	*e* rao:6	*e* rà_soát:3	*e* rì_rầm:3	*e* rơi:3	*e* rượt:3
*e* rất:21	*e* rất_mực:3	*e* rằng:3	*e* rồi:6	*e* rủ:9	*e* sao:3	*e* sinh:9	*e* siết:3	*e* sàng_lọc:3	*e* sá:3
*e* săn_lùng:3	*e* sơ_sẩy:3	*e* sắm:3	*e* sắm_sửa:3	*e* sắt:3	*e* sẽ:63	*e* sống:12	*e* sợ:9	*e* sử_dụng:3	*e* tan_vỡ:3
*e* tha:3	*e* tham_gia:3	*e* thanh_toán:3	*e* thay:6	*e* thay_thế:3	*e* thay_đổi:3	*e* theo:6	*e* theo_dõi:9	*e* thi:3	*e* thi_thoảng:3
*e* thiết_kế:6	*e* thiếu:6	*e* thoát:3	*e* thu:12	*e* thu_gom:3	*e* thua:3	*e* thuê:6	*e* thành:3	*e* thành_công:3	*e* thành_lập:3
*e* thành_viên:3	*e* tháo:9	*e* tháo_gỡ:3	*e* thèm:3	*e* thêm:6	*e* thì:6	*e* thì_sao:3	*e* thôi:9	*e* thông:3	*e* thông_cảm:3
*e* thông_qua:3	*e* thưa:3	*e* thương:3	*e* thường:9	*e* thả:9	*e* thấy:42	*e* thậm_chí:3	*e* thật:18	*e* thật_tình:3	*e* thế_hệ:3
*e* thọc:6	*e* thỏa_thuận:3	*e* thổi:3	*e* thủ_tục:3	*e* thức:3	*e* thử:6	*e* thực_hiện:9	*e* tiếc:3	*e* tiến_hành:6	*e* tiếp_tục:21
*e* to:3	*e* toàn:9	*e* tra:3	*e* trang_bị:3	*e* trao:3	*e* treo:3	*e* triển_khai:6	*e* trà_trộn:3	*e* trát:3	*e* trân_trọng:3
*e* trình:3	*e* trình_bày:3	*e* trót:3	*e* trông:9	*e* trả:15	*e* trọng:3	*e* trở_lại:6	*e* trục_vớt:3	*e* trực_tiếp:3	*e* tuyên:3
*e* tuyển:6	*e* tuyển_chọn:3	*e* tuyệt_đối:6	*e* tác_chiến:3	*e* tác_giả:3	*e* tên:3	*e* tìm:24	*e* tích_góp:3	*e* tính:9	*e* tóm:3
*e* tôi:21	*e* tư_vấn:3	*e* tưởng:12	*e* tại_sao:3	*e* tạo:6	*e* tấn_công:3	*e* tập:3	*e* tập_huấn:3	*e* tập_hợp:3	*e* tập_kết:3
*e* tập_trung:12	*e* tặng:3	*e* tống_giam:3	*e* tổ_chức:21	*e* tổng_kết:3	*e* tới:6	*e* từ:6	*e* từng:3	*e* tự:9	*e* tự_hào:3
*e* tự_nhiên:3	*e* uống:6	*e* vay:3	*e* vi_phạm:3	*e* viết:18	*e* việc:3	*e* vui:3	*e* vui_vẻ:3	*e* vào:33	*e* vá:3
*e* vác:3	*e* ví:3	*e* ví_dụ:3	*e* vô_danh:6	*e* vùi:3	*e* vút:3	*e* vất_vả:3	*e* vẫn:75	*e* vận_động:9	*e* vậy:6
*e* vậy_là:3	*e* vặt:3	*e* về:30	*e* vớt:9	*e* vợ:6	*e* vứt:6	*e* vừa:21	*e* xa:3	*e* xem:9	*e* xem_xét:3
*e* xin:33	*e* xin_lỗi:3	*e* xoi:3	*e* xong:3	*e* xui:3	*e* xuất:3	*e* xác_định:3	*e* xách:3	*e* xâu:3	*e* xây:6
*e* xây_dựng:12	*e* xé:3	*e* xét_xử:3	*e* xơi:3	*e* xảy:3	*e* xẻ:6	*e* xếp:3	*e* xỏ:6	*e* xử_lý:3	*e* yên_chí:3
*e* yên_tâm:9	*e* yêu_cầu:6	*e* âm_thầm:9	*e* ép:3	*e* ít:3	*e* ôi:3	*e* ông:3	*e* ăn_trộm:3	*e* đam_mê:3	*e* đang:45
*e* đau:6	*e* đem:6	*e* đeo:3	*e* đi:57	*e* điều:12	*e* điều_tra:3	*e* điểm_danh:3	*e* đuổi:6	*e* đành:12	*e* đào:12
*e* đào_tạo:3	*e* đày:3	*e* đá:3	*e* đánh:21	*e* đánh_cắp:6	*e* đánh_giá:3	*e* đánh_đập:3	*e* đáp:3	*e* đâu:9	*e* đây:6
*e* đã:123	*e* đè:3	*e* đêm:3	*e* đòi_hỏi:3	*e* đón:6	*e* đóng:6	*e* đông:3	*e* đúng:6	*e* đơn_cử:3	*e* đưa:99
*e* được:51	*e* đạp:3	*e* đấy:3	*e* đầu:3	*e* đẩy:3	*e* đẩy_mạnh:3	*e* đắt:3	*e* đặt:18	*e* đẻ:6	*e* đếm:3
*e* đến:15	*e* đề_bạt:3	*e* đề_cập:6	*e* đề_nghị:6	*e* đền_mạng:3	*e* đều:9	*e* để:12	*e* định:3	*e* định_hình:3	*e* đọc:6
*e* đối_mặt:3	*e* đốt:3	*e* đồng_chí:6	*e* đồng_ý:3	*e* đổ:9	*e* đổi:3	*e* đổi_đời:3	*e* động:3	*e* đỡ:3	*e* đợi:3
*e* đụng:3	*e* đứng:3	*e* đừng:30	*e* ơn:3	*e* ưu_tiên:3	*e* ưu_đãi:3	*e* ấm:3	*e* ắt_hẳn:3	*e* ốm_đau:3	*e* ồ:3
*e* ở:18	*e* ủi:3	*t:3	*t không_thể:3	*t*:1392	*t* *e*:9	*t* *t*:9	*t* 15:3	*t* 150%:3	*t* 17:3
*t* 20:6	*t* 22:3	*t* NULL:24	*t* biết:15	*t* bán:12	*t* bơi:3	*t* bảo_vệ:3	*t* bắt:12	*t* bắt_gặp:3	*t* bị:15
*t* chia_tay:3	*t* chiến_đấu:3	*t* cho:3	*t* cho_phép:3	*t* chu_cấp:3	*t* chuẩn_bị:3	*t* chính_thức:3	*t* chúng:3	*t* chưa:18	*t* chạy:3
*t* chạy_bàn:3	*t* chấp_nhận:3	*t* chậm:3	*t* chắc_chắn:3	*t* chẳng:9	*t* chết:3	*t* chỉ:39	*t* chịu:6	*t* chứng_kiến:3	*t* chứng_minh:3
*t* còn:6	*t* có:48	*t* có_thể:9	*t* côi_cút:3	*t* cũng:57	*t* cưới:3	*t* cảm_ơn:3	*t* cần:3	*t* cứ:12	*t* cứu:3
*t* dân:3	*t* dâng_hiến:3	*t* dùng:3	*t* dựng:3	*t* giải_quyết:3	*t* giật:3	*t* giữ:3	*t* gặp:12	*t* gọi:6	*t* hoàn_toàn:6
*t* hãy:3	*t* học:3	*t* hỏi:3	*t* hứa:3	*t* không:111	*t* không_thể:6	*t* kêu:3	*t* lo:3	*t* là:12	*t* làm:9
*t* làm_gì:3	*t* làm_sao:3	*t* làm_việc:3	*t* lãng_mạn:3	*t* lén:3	*t* lĩnh:3	*t* lại:21	*t* lần:3	*t* lập_tức:3	*t* lặn:3
*t* lộ:3	*t* lợi_dụng:3	*t* may_mắn:3	*t* mong:6	*t* mua:9	*t* muốn:12	*t* mà:3	*t* mò:3	*t* mơ:3	*t* mất:3
*t* mặc_kệ:3	*t* một:9	*t* mới:30	*t* nghe:15	*t* nghèo:3	*t* nghĩ:6	*t* ngược_đãi:3	*t* ngồi:3	*t* ngứa:3	*t* nhiễm:3
*t* nhìn:12	*t* như_thế:3	*t* nhảy:3	*t* nhậu_nhẹt:3	*t* nhặt:6	*t* nhớ:3	*t* nâng:6	*t* nên:3	*t* nói:3	*t* nói_chuyện:3
*t* phong:3	*t* phá:3	*t* phát:3	*t* phù_hộ:3	*t* phải:39	*t* phục_vụ:3	*t* qua:3	*t* quay:6	*t* quyết_định:3	*t* quá:3
*t* ra:9	*t* rất:9	*t* sao:6	*t* sinh:9	*t* so_sánh:3	*t* suốt:3	*t* sẽ:48	*t* sợ:3	*t* sử_dụng:3	*t* thi:3
*t* thôi:3	*t* thương:3	*t* thường:3	*t* thường_xuyên:3	*t* thấy:18	*t* thắng:3	*t* thức:3	*t* thực_hiện:6	*t* tin:3	*t* tiếc:6
*t* tranh_thủ:3	*t* tránh:3	*t* trên:3	*t* trắng_tay:3	*t* trở_chứng:3	*t* trở_thành:6	*t* trở_về:3	*t* tàn_sát:3	*t* tàu:3	*t* tìm:9
*t* tính:3	*t* tôi:3	*t* tưởng:9	*t* tất_cả:3	*t* tặng:3	*t* tốt_nghiệp:3	*t* từ:3	*t* tự:3	*t* và:3	*t* vào:6
*t* vướng_mắc:3	*t* vẫn:24	*t* vừa:12	*t* xin:9	*t* xẻ:3	*t* ăn:3	*t* ăn_mặc:3	*t* đang:18	*t* đem:12	*t* đeo:3
*t* đi:30	*t* đáng_lẽ:3	*t* đánh:3	*t* đâm:3	*t* đâu:3	*t* đã:72	*t* đăng_ký:3	*t* đưa:6	*t* được:24	*t* đặt_chân:3
*t* đến:12	*t* đề_nghị:3	*t* để:9	*t* định_thần:3	*t* đổ:3	*t* độc:3	*t* ưu_tiên:3	*t* ước:3	*t* ở:9	*t*-1:21
*t*-1 chưa:3	*t*-1 có:3	*t*-1 cũng:3	*t*-1 mới:3	*t*-1 ngồi:3	*t*-1 vẫn:3	*t*-1 đá:3	*t*_-1:6	*t*_-1 là:3	*t*_-1 đánh:3
.hcm:3	.hcm hầu_như:3	0:9	0 g:3	0 usd:3	0 đô:3	0104:3	0104 lh:3	0134520:3	0134520 ở:3
04:6	04 hai:3	04 nghiêm_xuân_hồng:3	0478:3	0478 đang:3	05:3	05 con:3	0903:3	0903 để:3	0903...:3
0903... thì:3	0903404554:3	0903404554 NULL:3	091.3.85:3	091.3.85 một:3	0912...:3	0912... NULL:3	091386315...:3	091386315... bảo:3	0_,_5:3
0_,_5 m:3	0c:3	0c mà:3	1:369	1 12:3	1 1966:3	1 1967:6	1 1970:3	1 1973:3	1 2:12
1 2003:3	1 2004:12	1 3:9	1 4:6	1 5:9	1 50.000:3	1 6:3	1 8:3	1 9:3	1 NULL:15
1 bấm:3	1 bộ_binh:3	1 cc:3	1 cho:3	1 chúng_tôi:3	1 chị:3	1 cty:9	1 còn:3	1 cô_giáo:3	1 công:3
1 công_suất:3	1 cũ:3	1 cũng:3	1 g:6	1 gam:3	1 giảm_sút:3	1 giờ:9	1 ha:6	1 hcv:3	1 hướng:3
1 học_bổng:3	1 kg:3	1 km:3	1 kể:3	1 là:6	1 làm:3	1 lê_trung_thành:3	1 lít:3	1 lại:3	1 m:24
1 m3:3	1 một:3	1 mỹ:3	1 nguyễn_sĩ_thành:3	1 nhiều:3	1 những:3	1 này:6	1 phút:3	1 phải:3	1 quế_sơn:3
1 ra_đời:3	1 thì:3	1 tp:9	1 triệu:15	1 trường:3	1 tấn:3	1 tỉ:6	1 từ:3	1 văn_bản:3	1 vừa:3
1 xác_minh:9	1 xã:15	1 xé:3	1 đi:3	1 đêm:3	1 đến:12	1 địch:3	1 đồng_hới:3	1 ở:6	1,1:3
1,1 m:3	1,2:3	1,2 kg:3	1,5:6	1,5 1,_9:3	1,5 kw:3	1,5_triệu:3	1,5_triệu đồng:3	1,6:6	1,6 m:3
1,6 đến:3	1,8:6	1,8 2:3	1,8 kg:3	1,981:3	1,981 kg:3	1,_5:3	1,_5 km:3	1,_6:3	1,_6 công:3
1,_9:3	1,_9 triệu:3	1.000:54	1.000 con_em:3	1.000 cây:3	1.000 giạ:3	1.000 m2:3	1.000 m_2:3	1.000 người:15	1.000 nữ:3
1.000 quân_tình_nguyện:3	1.000 tấn:3	1.000 tờ:3	1.000 usd:6	1.000 đầy:3	1.000 đủ:3	1.000.000:3	1.000.000 đồng:3	1.001:3	1.001 thủ_đoạn:3
1.100:3	1.100 ngôi:3	1.200:3	1.200 m3:3	1.300:3	1.300 đồng:3	1.459:3	1.459 tb:3	1.500:12	1.500 baht:3
1.500 kg:3	1.500 lít:3	1.500 m2:3	1.5000:3	1.5000 trang:3	1.600:3	1.600 tên:3	1.619:3	1.619 phụ_nữ:3	1.634:3
1.634 m2:3	1.677:3	1.677 hộ:3	1.725.000:3	1.725.000 đồng:3	1.800:6	1.800 lao_động:3	1.800 người:3	1.900:3	1.900 m:3
1/2:3	1/2 kg:3	1/3:6	1/3 dân_số:3	1/3 thúng:3	1/4:3	1/4 dự_án:3	1/6:3	1/6 giá_trị:3	10:375
10 *e*:3	10 100.000:3	10 11:9	10 14:3	10 15:9	10 1997:3	10 20:6	10 2003:21	10 2004:3	10 3:3
10 5:3	10 8:3	10 NULL:9	10 chúng_tôi:9	10 con:3	10 con_người:3	10 cây:3	10 có:3	10 công:3	10 căn:3
10 cũng:3	10 g:18	10 giờ:9	10 ha:9	10 hải_lý:6	10 hồ:3	10 kg:3	10 km:9	10 lít:6	10 lần:3
10 m:9	10 m2:3	10 m3:3	10 miệng_ăn:3	10 một:3	10 ngày:39	10 người:6	10 nhiều:3	10 nhưng:3	10 năm:30
10 phút:12	10 phần_thưởng:3	10 phố:6	10 sau:6	10 số:3	10 tháng:3	10 tp.hcm:3	10 triệu:15	10 trường_quốc_học:3	10 tuổi:15
10 tỉ:3	10 vạn:3	10 xe:3	10 xe_tăng:3	10 đoàn:3	10 đóng:3	10 đô:3	10 đứa:6	10 ủy_ban:3	10%:3
10% số:3	10.000:60	10.000 bộ:6	10.000 chàng:3	10.000 gái:3	10.000 ha:6	10.000 khối:3	10.000 liệt_sĩ:3	10.000 lượt:3	10.000 m2:3
10.000 ngôi:3	10.000 trung_tâm:3	10.000 usd:3	10.000 đ:6	10.000 đồng:15	10.036:3	10.036 nấm_mồ:3	100:75	100 150:3	100 bàn:3
100 chiếc:3	100 con:3	100 ha:6	100 hải_lý:6	100 hộ:3	100 kg:3	100 km:3	100 m:3	100 m2:3	100 mẩu:3
100 mộ:3	100 người:6	100 quần_thể:3	100 thợ:3	100 triệu:3	100 tấn:3	100 tỉ:3	100 usd:3	100 án:3	100 đồng:3
100%:6	100% người:3	100% số:3	100.000:48	100.000 đ:18	100.000 đồng:30	100._000:3	100._000 đồng:3	100_%:3	100_% vốn:3
100_triệu:3	100_triệu đồng:3	101:9	101 kiểu:6	101 mỹ:3	105:6	105 có:3	105 quán_thánh:3	108:6	108 nay:3
108 quân_đội:3	1080:3	1080 thắng:3	109:6	109 doanh_nghiệp:3	109 nước:3	10_triệu:18	10_triệu NULL:3	10_triệu con:3	10_triệu còn:3
10_triệu đô:3	10_triệu đồng:6	10triệu:3	10triệu đồng:3	11:111	11 1:3	11 10:3	11 11:3	11 2003:12	11 2004:3
11 2005:3	11 7:3	11 8:3	11 NULL:3	11 chúng_tôi:6	11 g:6	11 giờ:3	11 km:3	11 ngày:3	11 người:3
11 nhân_viên:3	11 nhưng:3	11 năm:3	11 siêu_thị:3	11 sẽ:3	11 tháng:3	11 triệu:3	11 tuổi:3	11 tôi:3	11 tại:3
11 và:3	11 về:3	11 án:3	11 điểm:3	11 đơn_vị:3	11 đến:3	11 ấp:3	11.000:3	11.000 ha:3	11.200:3
11.200 bơm_kim_tiêm:3	110:3	110 năm:3	112:3	112 ha:3	115:18	115 NULL:3	115 của:3	115 ha:3	115 xin:3
115 đã:3	115 đường:3	11_a:3	11_a trường:3	12:147	12 12:3	12 1988:3	12 2001:3	12 2003:6	12 2004:9
12 24:3	12 8:6	12 NULL:3	12 bs:3	12 bông:3	12 chỗ:3	12 con:3	12 csgt:6	12 g:18	12 giờ:12
12 ha:6	12 heo:3	12 lính:3	12 lần:3	12 m:3	12 ngày:3	12 ngày_đêm:3	12 người:18	12 năm:3	12 rồi:3
12 tháng:3	12 tuổi:3	12 vừa_qua:3	12 đây:3	12 đảng_viên:3	12%:6	12% năm:6	12,5:3	12,5 kg:3	12.000:18
12.000 baht:6	12.000 bộ_binh:3	12.000 km:3	12.000 mộ:3	12.000 vong_linh:3	12.500:3	12.500 đồng:3	120:36	120 140:3	120 con:3
120 ha:3	120 km:6	120 lính:9	120 người:3	120 tuổi:6	120 đại_lý:3	120.000:6	120.000 nón:3	120.000 đ:3	123:3
123 tháng:3	125:12	125 NULL:3	125 chắc:3	125 có:3	125 người:3	125triệu:3	125triệu đồng:3	12_-_2003:6	12_-_2003 và:3
12_-_2003 đoàn:3	12v:3	12v giá:3	13:66	13 5:3	13 6:3	13 NULL:3	13 anh_em:3	13 b:3	13 con_người:3
13 của:3	13 g:9	13 lúc:3	13 mộ:6	13 người:3	13 năm:3	13 tuổi:6	13 vị:3	13 xã:6	13 đến:3
13 đồng_chí:3	13-11:3	13-11 chúng_tôi:3	13.500:3	13.500 đồng:3	130:3	130 xe_tăng:3	132:6	132 134:6	134:6
134 đồng_khởi:6	135:3	135 của:3	1397:3	1397 di_tích:3	14:60	14 11:3	14 5:3	14 g:12	14 giờ:3
14 họ:3	14 km:3	14 liệt_sĩ:3	14 lính:3	14 lít:3	14 ndt:3	14 người:3	14 năm:3	14 phường:3	14 phố:3
14 tháng:3	14 trường:3	14 tuổi:3	140:3	140 km:3	142:3	142 trường_hợp:3	143.000:3	143.000 giường_bệnh:3	1472:3
1472 có_thể:3	1473:3	1473 NULL:3	148:3	148 sư_đoàn:3	149:3	149 dự_án:3	15:153	15 12:3	15 20:15
15 40:3	15 7:3	15 bước:3	15 chiếc:3	15 chàng:3	15 con:3	15 g:6	15 giờ:3	15 hải_lý:3	15 kg:3
15 loại:3	15 lần:3	15 m:9	15 m2:3	15 một:3	15 ngày:9	15 người:3	15 năm:30	15 phút:21	15 quận:6
15 sải:3	15 tuổi:3	15 tấn:3	15 độ:3	15%:3	15% lười:3	15-11:3	15-11 mới:3	15-3–2004:3	15-3–2004 NULL:3
15.000:9	15.000 20.000:6	15.000 đài_tệ:3	150:18	150 200:3	150 ha:3	150 km:3	150 m:6	150 usd:3	150%:3
150% NULL:3	150.000:27	150.000 m3:3	150.000 usd:3	150.000 đ:3	150.000 đồng:18	150._000:3	150._000 200.000:3	150triệu:3	150triệu đồng:3
152:6	152 mũi:6	152.480:3	152.480 tờ:3	16:81	16 20:3	16 5:3	16 6:3	16 8:6	16 bch:3
16 bạn:3	16 chiếc:6	16 chòi:3	16 chương_trình:6	16 g:9	16 giờ:3	16 ha:3	16 nhưng:3	16 năm:3	16 tay:3
16 thân_phận:3	16 tiếp_viên:3	16 tuổi:15	16.000:9	16.000 người:6	16.000 tay:3	160:6	160 chỉ:3	160 triệu:3	160.000:3
160.000 đ:3	1663:3	1663 NULL:3	17:78	17 10:3	17 19:3	17 5:3	17 con:3	17 con_người:6	17 g:18
17 km:3	17 lao_động:6	17 người:3	17 năm:15	17 thì:3	17 tuổi:12	176:3	176 thương_binh:3	17_-_3_–_2004:3	17_-_3_–_2004 đến:3
17_-_4_-_2004:3	17_-_4_-_2004 NULL:3	18:87	18 1:3	18 10:3	18 19:3	18 20:3	18 22:3	18 25:3	18 30:3
18 4:3	18 5:3	18 8:3	18 9:3	18 g:12	18 mộ:3	18 nhân_viên:3	18 năm:3	18 tháng:9	18 tuổi:24
18.000:6	18.000 kg:3	18.000 đài_tệ:3	180:3	180 triệu:3	180.000:6	180.000 đ:6	181:3	181 bài:3	1860:3
1860 sắp:3	1890:3	1890 NULL:3	19:69	19 1:3	19 8:3	19 công_nhân:3	19 g:6	19 giờ:3	19 hài_cốt:3
19 mộ:3	19 ngày:3	19 người:9	19 nạn_nhân:3	19 thành_viên:3	19 tuổi:18	19 tỉnh:6	19 và:3	19.000:6	19.000 26._000:3
19.000 đồng:3	190:3	190 triệu:3	1910:3	1910 tại:3	1920:3	1920 khi:3	1925:3	1925 NULL:3	1930:6
1930 NULL:6	1937:3	1937 *e*:3	1939:3	1939 1945:3	1940:3	1940 đến:3	1941:3	1941 NULL:3	1943:3
1943 năm:3	1944:6	1944 NULL:3	1944 sĩ_quan:3	1945:6	1945 NULL:3	1945 và:3	1946:9	1946 1953:3	1946 dần_dần:3
1946 ông:3	1947:3	1947 sau:3	1949:3	1949 1944:3	1950:12	1950 1949:3	1950 NULL:3	1950 bibi:3	1950 tôi:3
