%:382	% 120:1	% 13:1	% 150:1	% 180:1	% 2:1	% 26:1	% 30:2	% 60:2	% 6\/2:1
% 90:2	% NULL:47	% a:4	% above:2	% according:2	% aim:1	% and:10	% as:1	% at:3	% before:2
% below:1	% black:1	% bond:2	% bonds:1	% boost:1	% britain:1	% by:2	% compared:2	% convertible:1	% decline:6
% default:1	% drop:8	% five:1	% for:1	% friday:2	% from:20	% gain:4	% germany:1	% goldman:1	% growth:2
% had:1	% have:1	% high:1	% higher:2	% however:1	% if:1	% in:32	% increase:8	% interest:5	% is:1
% issue:5	% its:1	% japan:1	% jump:3	% last:5	% loss:1	% low:1	% month-to-month:1	% more:2	% mr.:1
% near:1	% norway:1	% notes:1	% of:45	% offered:1	% on:6	% one:5	% or:2	% over:1	% partner:1
% plunge:1	% profit:1	% rate:2	% reduction:1	% reflecting:1	% reimburse:1	% return:3	% rise:3	% sales:1	% say:1
% securities:2	% senior:1	% share:1	% since:1	% six:3	% so:1	% stake:6	% standard:2	% subordinated:1	% switzerland:1
% the:2	% this:1	% three:4	% through:1	% to:42	% two:1	% up:1	% wage:1	% well:1	% were:1
% when:2	% while:4	% with:4	% year-to-year:1	&:80	& antiques:1	& associates:1	& banking:2	& barrow:1	& bradstreet:1
& clark:1	& co:10	& co.:29	& decker:1	& equity:1	& flom:1	& gamble:5	& health:1	& jenrette:1	& johnson:1
's time:1	's tokyo:1	's too:1	's top:3	's total:1	's traders:1	's trading:4	's tradition:1	's triumph:1	's trizec:1
's troubled:1	's u.s.:2	's under-secretary:1	's units:1	's unlikely:1	's very:4	's vice:1	's vitality:1	's volatility:1	's volume:1
's wall:2	's weakest:1	's weekly:1	's weighing:1	's who:1	's whose:1	's wichita:2	's widely:1	's wisdom:1	's wonderland:1
's work:1	's working-capital:1	's world:2	's would:1	's written:1	've:12	've always:1	've been:3	've got:2	've had:2
've seen:2	've spent:1	've taken:1	*:4	* tên:4	* tên các:1	* tên nạn:3	-:8	- bạn:1	- bạn chung:1
- hải:1	- hải hiếuôtô:1	- nghi:1	- nghi can:1	- người:1	- người bị:1	- việt:1	- việt dũng:1	- đi:1	- đi chung:1
- đã:1	- đã hoàn:1	- đồng:1	- đồng phạm:1	.9.82:1	.9.82 %:1	0.0055:1	0.0055 NULL:1	0.01:1	0.01 percentage:1
0.05:1	0.05 percentage:1	0.07:1	0.07 percentage:1	0.15:1	0.15 spot:1	0.2:1	0.2 %:1	0.22:1	0.22 cent:1
0.25:1	0.25 1.8685:1	0.32:1	0.32 cent:1	0.4:1	0.4 %:1	0.5:1	0.5 %:1	0.7:1	0.7 %:1
0.70:1	0.70 percentage:1	0.8:1	0.8 %:1	0.89:1	0.89 %:1	0.9:1	0.9 %:1	0.91:2	0.91 NULL:1
0.91 point:1	000:5	000 usd:1	000 usd nữa:1	000 đồng:4	000 đồng NULL:4	1:43	1 %:5	1 1988:1	1 1\/2:2
1 1\/8:2	1 2:1	1 3\/4:2	1 5\/32:1	1 NULL:4	1 a:2	1 after:1	1 and:2	1 billion:7	1 compared:1
1 domestic:1	1 each:1	1 for:1	1 from:1	1 has:1	1 in:1	1 million:4	1 million-a-year:1	1 the:1	1,000:7
1,000 8.40:1	1,000 critics:1	1,000 face:4	1,000 says:1	1,035,000:1	1,035,000 common:1	1,200-year-old:1	1,200-year-old italian:1	1,300:1	1,300 east:1
1,376:1	1,376 page:1	1,400:1	1,400 aeroflot:1	1,640:1	1,640 big:1	1,700:1	1,700 units:1	1,802,000:1	1,802,000 tons:1
1,828,000:1	1,828,000 tons:1	1,843,000:1	1,843,000 tons:1	1-for-17:1	1-for-17 NULL:1	1.05:1	1.05 a:1	1.06:1	1.06 billion:1
1.07:1	1.07 a:1	1.1:1	1.1 billion:1	1.11:1	1.11 a:1	1.13:2	1.13 %:1	1.13 a:1	1.15:3
1.15 billion:1	1.15 million:2	1.17:1	1.17 point:1	1.2:4	1.2 %:1	1.2 billion:2	1.2 million:1	1.23:1	1.23 a:1
1.25:3	1.25 NULL:1	1.25 a:2	1.26:1	1.26 a:1	1.27:1	1.27 %:1	1.2745:1	1.2745 NULL:1	1.2965:1
1.2965 but:1	1.3:2	1.3 billion:1	1.3 million:1	1.34:1	1.34 billion:1	1.35:1	1.35 billion:1	1.375:1	1.375 a:1
1.39:1	1.39 billion:1	1.4:2	1.4 %:1	1.4 billion:1	1.41:1	1.41 billion:1	1.42:1	1.42 NULL:1	1.43:1
1.43 %:1	1.45:1	1.45 a:1	1.46:1	1.46 billion:1	1.47:1	1.47 a:1	1.48:1	1.48 billion:1	1.5:7
1.5 %:1	1.5 billion:4	1.5 cents:1	1.5 man:1	1.50:1	1.50 a:1	1.51:1	1.51 a:1	1.52:1	1.52 billion:1
1.55:1	1.55 a:1	1.56:1	1.56 billion:1	1.58:1	1.58 a:1	1.6:2	1.6 million:2	1.60:1	1.60 a:1
1.625:1	1.625 billion:1	1.64:1	1.64 shortly:1	1.65:1	1.65 billion:1	1.7:5	1.7 %:2	1.7 billion:2	1.7 million:1
1.72:1	1.72 billion:1	1.73:1	1.73 a:1	1.75:2	1.75 NULL:1	1.75 billion:1	1.79:1	1.79 billion:1	1.8:9
1.8 %:7	1.8 billion:2	1.82:2	1.82 billion:2	1.85:1	1.85 a:1	1.8685:1	1.8685 marks:1	1.9:1	1.9 billion:1
10:61	10 %:26	10 1\/2:1	10 NULL:1	10 a.m.:3	10 after:1	10 bank:1	10 billion:2	10 categories:1	10 cents:3
10 common:1	10 feet:1	10 million:7	10 minutes:1	10 months:1	10 năm:3	10 năm -:1	10 năm bị:1	10 năm ngồi:1	10 tháng:1
10 tháng thương:1	10 times:1	10 tuổi:1	10 tuổi cha:1	10 vksnd:1	10 vksnd tỉnh:1	10 years:4	10,000:4	10,000 calls:2	10,000 num:1
10,000 to:1	10,004:1	10,004 tons:1	10-a-share:1	10-a-share proposal:1	10-cent-a-share:1	10-cent-a-share payout:1	10-year:3	10-year maturities:1	10-year note:1
10-year notes:1	10.12:1	10.12 %:1	10.2:1	10.2 %:1	10.3:1	10.3 million:1	10.35:1	10.35 in:1	10.4:1
10.4 %:1	10.6:1	10.6 million:1	10.625:1	10.625 canadian:1	10.75:1	10.75 a:1	10.8:2	10.8 million:2	10.9:1
10.9 million:1	100:28	100 %:1	100 3\/32:1	100 NULL:6	100 a:1	100 blue-chip:1	100 compared:1	100 during:1	100 index:2
100 individual:1	100 million:4	100 mộ:1	100 mộ liệt:1	100 points:1	100 separate:1	100 share:2	100 stock-index:2	100 triệu:1	100 triệu đồng:1
100 vụ:1	100 vụ việc:1	100,000:3	100,000 NULL:2	100,000 to:1	100-share:1	100-share index:1	100.96:1	100.96 or:1	101:3
101 19\/32:1	101 9\/32:1	101 which:1	101-year-old:1	101-year-old magazine:1	102:1	102 rules:1	102.06:2	102.06 points:1	102.06 utilities:1
103:3	103 12\/32:1	103 a:1	103 up:1	103.1:1	103.1 million:1	104.75:1	104.75 down:1	105:2	105 mộ:2
105 mộ liệt:2	106.06:1	106.06 billion:1	106.2:1	106.2 million:1	107.50:1	107.50 the:1	108:1	108 million:1	108.6:1
108.6 million:1	109:1	109 million:1	10:10:1	10:10 the:1	10:15:1	10:15 the:1	10:25:2	10:25 the:2	10:40:1
10:40 a.m.:1	11:20	11 %:5	11 3\/4:2	11 NULL:1	11 bankruptcy:1	11 bankruptcy-law:1	11 banks:1	11 billion:2	11 cents:1
11 hits:1	11 million:1	11 người:2	11 người liên:1	11 người tham:1	11 of:1	11 western:1	11,700:1	11,700 machinists:1	11.3:1
11.3 %:1	11.5:1	11.5 %:1	11.50:1	11.50 a:1	111:2	111 19\/32:1	111 4.6:1	113:1	113 points:1
114:1	114 1\/2:1	114.3:1	114.3 million:1	114.5:1	114.5 down:1	117:1	117 NULL:1	11:15:1	11:15 a.m.:1
12:19	12 %:6	12 NULL:1	12 billion:1	12 million:4	12 minutes:1	12 months:3	12 times:1	12 tuổi:1	12 tuổi NULL:1
12 weeks:1	12,000:1	12,000 miles:1	12-cent-a-share:1	12-cent-a-share dividend:1	12-year:2	12-year average:1	12-year life:1	12.3:1	12.3 million:1
12.5:3	12.5 cents:3	12.6:1	12.6 million:1	12.74:1	12.74 %:1	12.8:4	12.8 %:4	120:4	120 NULL:1
120 days:1	120 million:2	120,000:1	120,000 demonstrators:1	123.7:1	123.7 million:1	124:1	124 on:1	125:3	125 a:1
125 million:1	125 refugees:1	126:1	126 million:1	128:2	128 million:1	128 points:1	129.72:1	129.72 off:1	12:49:2
12:49 p.m:1	12:49 p.m.:1	12\/32:1	12\/32 friday:1	12th:1	12th century:1	13:15	13 %:3	13 16.1:1	13 1973:1
13 3\/4:1	13 assets:1	13 basis:1	13 because:1	13 case:1	13 cents:1	13 for:1	13 million:1	13 to:1	13 weeks:1
13,000:1	13,000 more:1	13,575:1	13,575 tons:1	13-pound:1	13-pound reconciliation:1	13-week:1	13-week bills:1	13.1:1	13.1 million:1
13.27:1	13.27 and:1	13.39:1	13.39 an:1	13.5:1	13.5 %:1	13.50:1	13.50 %:1	13.625:1	13.625 down:1
13.71:1	13.71 billion:1	13.97:1	13.97 cents:1	13/10:2	13/10 nam:1	13/10 nam sinh:1	13/10 sang:1	13/10 sang quyết:1	130:5
130 aeroflot:1	130 million:2	130 points:1	130 regular-season:1	130,000:1	130,000 for:1	130.16:1	130.16 up:1	1304.23:1	1304.23 off:1
132.6:1	132.6 million:1	133.4:1	133.4 million:1	137.2:1	137.2 million:1	138:1	138 %:1	1385.72:2	1385.72 down:1
1385.72 was:1	139.10:1	139.10 yen:1	13th:1	13th day:1	14:7	14 %:2	14 1\/4:1	14 million:2	14 months:1
14 vụ:1	14 vụ việc:1	14.22:1	14.22 cents:1	14.31:1	14.31 billion:1	14.9:3	14.9 %:1	14.9 million:2	140:1
140 NULL:1	141.8:1	141.8 thus:1	141.85:1	141.85 yen:1	142-page:1	142-page ad:1	143:1	143 million:1	143.6:1
143.6 million:1	145:3	145 a:1	145 million:2	147:1	147 million:1	148.5:1	148.5 million:1	149.6:1	149.6 million:1
15:35	15 %:13	15 NULL:2	15 abstentions:1	15 billion:2	15 cents:2	15 clients:1	15 fairly:1	15 million:3	15 minutes:3
15 months:1	15 of:1	15 pence:1	15 phút:1	15 phút sau:1	15 seconds:1	15 years:1	15 yesterday:1	15,000:2	15,000 a:1
15,000 congressional:1	15-a-share:1	15-a-share bid:1	15-trader:2	15-trader office:2	15.125:1	15.125 in:1	15.2:1	15.2 million:1	15.65:1
15.65 points:1	15.75:1	15.75 a:1	15.97:1	15.97 a:1	15/10:5	15/10 công:3	15/10 công an:3	15/10 ra:1	15/10 ra tay:1
15/10 sau:1	15/10 sau khi:1	15/4/2014:1	15/4/2014 hà:1	15/4/2014 hà chị:1	15/8:1	15/8 bao:1	15/8 bao gồm:1	15/9:1	15/9 hai:1
15/9 hai nữ:1	150:3	150 days:1	150 million:2	150th:1	150th anniversary:1	151:1	151 million:1	154.3:1	154.3 million:1
156,000:1	156,000 members:1	156.8:1	156.8 million:1	157.1:1	157.1 points:1	16:13	16 %:6	16 1987:1	16 1989:2
16 NULL:1	16 l987:1	16 tỷ:1	16 tỷ đồng:1	16 years:1	16.1:1	16.1 million:1	16.3:1	16.3 %:1	16.4:1
16.4 million:1	16.56:1	16.56 and:1	16.8:1	16.8 million:1	16/10:3	16/10 công:2	16/10 công an:2	16/10 tand:1	16/10 tand quảng:1
160:2	160 accounts:1	160 million:1	1601.5:1	1601.5 down:1	162:1	162 million:1	165-member:1	165-member legislature:1	166:1
166 billion:1	167.9:1	167.9 million:1	168.1:1	168.1 million:1	169.4:1	169.4 million:1	17:10	17 %:5	17 1988:1
17 1989:1	17 cents:1	17 in:1	17 tuổi:1	17 tuổi lan:1	17.50:1	17.50 for:1	170.4:1	170.4 million:1	1738.7:1
1738.7 NULL:1	1744:1	1744 and:1	175:1	175 in:1	178.61:1	178.61 billion:1	17th-century:1	17th-century neapolitan:1	18:17
18 %:2	18 1971:1	18 1990:1	18 1\/2:1	18 a:1	18 army:1	18 million:4	18 tuổi:6	18 tuổi -:1	18 tuổi ngụ:1
18 tuổi đã:1	18 tuổi để:1	18 tuổi ở:2	18,000:1	18,000 of:1	18-a-share:2	18-a-share offer:1	18-a-share or:1	18.49:1	18.49 million:1
18.50:1	18.50 up:1	18.625:1	18.625 NULL:1	18.7:1	18.7 million:1	18.875:1	18.875 down:1	18.9:1	18.9 %:1
18.95:1	18.95 is:1	18.98:1	18.98 million:1	180:3	180 days:1	180 million:2	180.60:1	180.60 to:1	184.74:1
184.74 billion:1	185.1:1	185.1 million:1	188.2:1	188.2 million:1	188.5:1	188.5 million:1	19:14	19 %:3	19 1987:2
19 1990:1	19 NULL:2	19 and:1	19 article:1	19 billion:2	19 million:1	19 to:1	19-member:1	19-member cabinet:1	19-to-$21:1
19-to-$21 range:1	19.2:1	19.2 million:1	19.7:1	19.7 million:1	19.9:1	19.9 million:1	190-point:5	190-point drop:2	190-point plunge:1
190-point stock:1	190-point stock-market:1	190.58-point:5	190.58-point drop:1	190.58-point market:1	190.58-point plunge:3	1926:2	1926 would:2	1929:2	1929 and:1
1929 before:1	1939:2	1939 NULL:1	1939 shannon:1	1941:1	1941 raeder:1	1943:1	1943 out:1	1945:1	1945 NULL:1
1950s:1	1950s when:1	1956:1	1956 the:1	1959:1	1959 NULL:1	196:1	196 million:1	1960s:2	1960s NULL:1
1960s some:1	1962:1	1962 NULL:1	1966:1	1966 NULL:1	1967:1	1967 average:1	1969:1	1969 equaling:1	1970:2
1970 and:1	1970 congress:1	1970s:2	1970s and:1	1970s long:1	1971:2	1971 and:1	1971 california:1	1972:5	1972 NULL:2
1972 and:1	1972 had:1	1972 to:1	1973:2	1973 NULL:1	1973 it:1	1974:2	1974 music:1	1974 when:1	1979:2
1979 NULL:1	1979 designers:1	198:1	198 on:1	1980:3	1980 NULL:1	1980 argues:1	1980 the:1	1980s:1	1980s determined:1
1981:1	1981 from:1	1982:1	1982 however:1	1983:4	1983 extended:1	1983 federal:1	1983 though:1	1983 to:1	1984:4
1984 NULL:1	1984 firms:1	1984 more:1	1984 to:1	1985:6	1985 NULL:4	1985 but:1	1985 no:1	1986:6	1986 NULL:2
1986 and:1	1986 provided:1	1986 to:1	1986 when:1	1987:39	1987 NULL:12	1987 and:1	1987 contract:1	1987 crash:11	1987 debacle:1
1987 despite:1	1987 for:1	1987 global:1	1987 largely:1	1987 market:1	1987 plunge:1	1987 revisited:1	1987 the:1	1987 to:1	1987 we:1
1987 when:2	1987 write-off:1	1987-style:1	1987-style crash:1	1988:34	1988 NULL:11	1988 according:1	1988 and:1	1988 close:1	1988 cluett:1
1988 earnings:1	1988 from:1	1988 game:1	1988 mr.:1	1988 net:2	1988 of:1	1988 quarter:1	1988 results:1	1988 revenue:1	1988 sales:1
1988 the:5	1988 third:1	1988 when:2	1989:23	1989 NULL:5	1989 after:1	1989 aims:1	1989 and:3	1989 auction:1	1989 central:1
1989 earnings:2	1989 ended:1	1989 has:1	1989 just:1	1989 net:1	1989 regatta:1	1989 rose:1	1989 to:1	1989 will:1	1989 would:1
199:1	199 million:1	1990:14	1990 NULL:2	1990 and:3	1990 because:1	1990 collective:1	1990 first:1	1990 in:1	1990 money:1
1990 unlike:1	1990 up:1	1990 when:1	1990 will:1	1990s:4	1990s NULL:1	1990s said:1	1990s technology:1	1990s will:1	1991:4
1991 NULL:2	1991 and:1	1991 rose:1	1992:7	1992 600:1	1992 NULL:2	1992 a:1	1992 could:1	1992 mlx:1	1992 to:1
1994:1	1994 under:1	1995:2	1995 and:1	1995 south:1	1996:3	1996 10:1	1996 and:2	1998:1	1998 ended:1
1999:1	1999 ended:1	19\/32:2	19\/32 compared:1	19\/32 to:1	1:30:1	1:30 2:30:1	1\/2:15	1\/2 %:5	1\/2 NULL:1
1\/2 and:1	1\/2 as:1	1\/2 bid:2	1\/2 down:1	1\/2 hours:1	1\/2 point:1	1\/2 times:1	1\/2 to:1	1\/4:13	1\/4 %:4
1\/4 NULL:1	1\/4 and:1	1\/4 before:1	1\/4 down:1	1\/4 on:1	1\/4 to:4	1\/8:4	1\/8 %:1	1\/8 bid:1	1\/8 higher:1
1\/8 to:1	2:34	2 %:6	2 1\/2:2	2 1\/4:1	2 3\/4:1	2 a:1	2 aluminum:1	2 and:1	2 at:1
2 billion:8	2 billion-a-year:1	2 bình:1	2 bình axit:1	2 chiếc:1	2 chiếc nhẫn:1	2 in:1	2 million:2	2 ngày:2	2 ngày NULL:1
2 ngày chờ:1	2 nữ:2	2 nữ sinh:2	2 p.m.:1	2 tỉnh:1	2 tỉnh táo:1	2,400:1	2,400 of:1	2,425,000:1	2,425,000 will:1
2,500:1	2,500 service:1	2,508:1	2,508 such:1	2,720,675:1	2,720,675 aristech:1	2-0:2	2-0 pitch:1	2-0 series:1	2-1:1
2-1 to:1	2.10:1	2.10 a:1	2.2:3	2.2 %:1	2.2 million:2	2.22:1	2.22 a:1	2.28:1	2.28 billion:1
2.3:6	2.3 billion:2	2.3 cents:1	2.3 million:3	2.35:2	2.35 a:1	2.35 billion:1	2.4:5	2.4 %:2	2.4 billion:2
2.4 million:1	2.43:1	2.43 million:1	2.46:1	2.46 a:1	2.5:3	2.5 %:2	2.5 million:1	2.50:1	2.50 a:1
2.56:1	2.56 a:1	2.57:1	2.57 billion:1	2.59:1	2.59 a:1	2.6:2	2.6 %:1	2.6 million:1	2.625:1
2.625 to:1	2.7:2	2.7 %:1	2.7 million:1	2.70:1	2.70 for:1	2.71:1	2.71 million:1	2.75:1	2.75 NULL:1
2.77:1	2.77 NULL:1	2.8:1	2.8 million:1	2.83:1	2.83 billion:1	2.86:1	2.86 a:1	2.875:1	2.875 NULL:1
2.9:2	2.9 %:1	2.9 billion:1	2.90:1	2.90 a:1	2/2014:1	2/2014 một:1	2/2014 một người:1	2/9…:1	2/9… bẵng:1
2/9… bẵng đi:1	20:30	20 %:11	20 NULL:1	20 as:1	20 billion:2	20 cents:1	20 days:1	20 frigates:1	20 million:3
20 minutes:2	20 stocks:2	20 to:1	20 u.s.:1	20 when:1	20 years:2	20,000:2	20,000 NULL:1	20,000 workers:1	20-a-share:1
20-a-share cash:1	20-city:1	20-city tour:1	20.5:1	20.5 million:1	20.59:1	20.59 a:1	20.8:1	20.8 million:1	20.875:1
20.875 per:1	20/8:1	20/8 người:1	20/8 người của:1	200:12	200 a:2	200 at:1	200 billion:2	200 employees:1	200 for:1
200 miles:1	200 million:1	200 points:2	200 voice-activated:1	200,000:3	200,000 cars:1	200,000 tons:2	200-point:1	200-point drop:1	2000:4
